id,raison_sociale,pays_origine,specialite,email,telephone,fax,adresse,code_postal,ville,gouvernorat,site_web,contact_nom,contact_poste,est_actif
1,Laboratoire Hikma,Tunisie,"Génériques, antibiotiques, anti-infectieux",contact@hikma.tn,71 123 456,71 123 457,"Zone Industrielle Ben Arous",2013,Ben Arous,Ben Arous,www.hikma.tn,Ahmed Ben Salah,Directeur Commercial,1
2,Laboratoire Opalia,Tunisie,"Génériques, antibiotiques, anti-inflammatoires",contact@opalia.tn,71 800 100,71 800 101,"Zone Industrielle Mghira 2",Fouchana,2082,Fouchana,Ben Arous,www.opalia.tn,Sami Trabelsi,Directeur Général,1
3,Laboratoire Adwya,Tunisie,"Médicaments génériques, cardiologie",contact@adwya.com.tn,71 430 000,71 430 001,"Rue de la Pharmacie",Sidi Thabet,2020,Sidi Thabet,Ariana,www.adwya.com.tn,Leila Ben Ali,DG Adjointe,1
4,Laboratoire Unimed,Tunisie,"Génériques, cardiologie, neurologie",contact@unimed.tn,71 850 200,71 850 201,"Zone Industrielle Kalaa Kebira",Kalaa Kebira,4060,Kalaa Kebira,Sousse,www.unimed.tn,Mohamed Bouazizi,Responsable Commercial,1
5,Laboratoire Teriak,Tunisie,"Médicaments génériques, pédiatrie",contact@teriak.com.tn,71 560 300,71 560 301,"Avenue Hédi Khefacha",Montplaisir,1073,Tunis,Tunis,www.teriak.com.tn,Nadia Gharbi,Directrice Marketing,1
6,Laboratoire Medis,Tunisie,"Génériques, oncologie",contact@medis.tn,71 945 000,71 945 001,"Zone Industrielle Borj Cédria",Borj Cédria,2083,Borj Cédria,Ben Arous,www.medis.tn,Tarek Kallel,Directeur Commercial,1
7,Laboratoire Pantheon,Tunisie,"Génériques, antibiotiques",contact@pantheon.tn,71 567 890,71 567 891,"Zone Industrielle La Charguia",La Charguia,2035,Tunis,Tunis,www.pantheon.tn,Rim Bouazizi,Responsable Ventes,1
8,Laboratoire Pharmascience,Tunisie,Médicaments génériques,contact@pharmascience.tn,71 234 567,71 234 568,"Rue des Entrepreneurs",Charguia,2035,Tunis,Tunis,www.pharmascience.tn,Walid Khemais,Directeur,1
9,Laboratoire Servipharm,Tunisie,Génériques,contact@servipharm.com.tn,71 876 543,71 876 544,"Zone Industrielle Kalaa Kebira",Kalaa Kebira,4060,Kalaa Kebira,Sousse,www.servipharm.com.tn,Sonia Mejri,Responsable Qualité,1
10,Laboratoire Sotapharm,Tunisie,Génériques,contact@sotapharm.tn,71 345 678,71 345 679,"Rue de la Pharmacie",Sidi Thabet,2020,Sidi Thabet,Ariana,www.sotapharm.tn,Ammar Ben Youssef,Directeur,1
11,Laboratoire North Africa,Tunisie,Génériques,contact@northafrica.tn,71 987 654,71 987 655,"Zone Industrielle Ben Arous",Ben Arous,2013,Ben Arous,Ben Arous,www.northafrica.tn,Hela Ben Cheikh,Directrice,1
12,Laboratoire Labopharm,Tunisie,"Génériques, antibiotiques",contact@labopharm.tn,71 456 789,71 456 790,"Rue des Légumes",Tunis Centre,1000,Tunis,Tunis,www.labopharm.tn,Moez Sassi,Responsable,1
13,Laboratoire Alfa Pharma,Tunisie,Génériques,contact@alfapharma.tn,71 654 321,71 654 322,"Zone Industrielle Mghira",Mghira,2082,Fouchana,Ben Arous,www.alfapharma.tn,Imen Ghodhbane,DG,1
14,Laboratoire Biotech,Tunisie,Biosimilaires,contact@biotech.tn,71 789 012,71 789 013,"Zone Industrielle Borj Cédria",Borj Cédria,2083,Borj Cédria,Ben Arous,www.biotech.tn,Chokri Ben Hmida,Directeur R&D,1
15,Laboratoire Medipharm,Tunisie,Génériques,contact@medipharm.tn,71 210 987,71 210 988,"Rue de la Pharmacie",Ariana,2080,Ariana,Ariana,www.medipharm.tn,Monia Saidi,Responsable,1
16,Laboratoire Europharm,Tunisie,Génériques,contact@eupharm.tn,71 543 210,71 543 211,"Zone Industrielle La Soukra",La Soukra,2073,La Soukra,Ariana,www.europharm.tn,Anis Zaouali,Directeur,1
17,Laboratoire Générique Pharma,Tunisie,Génériques,contact@generiquepharma.tn,71 876 123,71 876 124,"Rue des Entrepreneurs",Charguia,2035,Tunis,Tunis,www.generiquepharma.tn,Olfa Khelil,DG,1
18,Laboratoire Tunisienne de Pharmacie,Tunisie,"Médicaments divers",contact@tunipharm.tn,71 432 109,71 432 110,"Zone Industrielle Megrine",Megrine,2033,Megrine,Ben Arous,www.tunipharm.tn,Khaled Mzali,Directeur Général,1
19,Laboratoire Atlas Pharma,Tunisie,Génériques,contact@atlaspharma.tn,71 109 876,71 109 877,"Zone Industrielle Sfax",Sfax,3000,Sfax,Sfax,www.atlaspharma.tn,Fatma Bouali,Responsable,1
20,Laboratoire Sud Pharma,Tunisie,Génériques,contact@sudpharma.tn,71 654 098,71 654 099,"Zone Industrielle Gabès",Gabès,6000,Gabès,Gabès,www.sudpharma.tn,Moncef Jarraya,Directeur,1
