id,code_cip,qr_code,nom,dci,nom_commercial_fr,nom_commercial_ar,dosage,unite,forme,categorie,presentation,ppv,ph,prix_br,prix_public,prix_achat,prix_vente,delai_appro,stock_min,stock_max,est_essentiel,est_controle,quantite,conditionnement,remarque,created_at,updated_at,forme_pharmaceutique,taux_remboursement,laboratoire,pays_origine,seuil_alerte,date_premption_alerte,classe_therapeutique,voie_administration,contre_indications,effets_indesirables,interactions_medicamenteuses,conditions_conservation,code_atc,est_psychotrope,est_ther_lourde,est_renouvelable,delai_renouvellement,image_url,code_barre,est_generique,est_perime,date_peremption,statut,updated_by,medicament_reference_id,created_by
,,,Grippex,Paracétamol+Vitamine C+Phényléphrine,Grippex,غريبيكس,500/200/5,mg,sachet,Antigrippal,Boîte de 8,6.500,5.200,4.800,5.500,3.800,5.500,5,15,80,0,0,42,8 sachets,,2025-01-01 00:00:00,2025-01-01 00:00:00,poudre,70%,UPSA,France,30,2025-12-31,Rhinopharyngite,orale,Insuffisance hépatique sévère,Nausées,IMAO,Ambiance sèche,R05X,0,0,1,0,,,0,0,2026-06-01,actif,1,,
,,,Fervex,Paracétamol+Acide ascorbique+Chlorphéniramine,Fervex,فيرفيكس,500/200/4,mg,sachet,Antigrippal,Boîte de 8,6.800,5.500,5.000,5.600,3.900,5.600,5,15,80,0,0,38,8 sachets,,2025-01-01 00:00:00,2025-01-01 00:00:00,poudre,70%,Bristol-Myers Squibb,France,30,2025-12-31,Rhinopharyngite,orale,Glaucome à angle fermé,Somnolence,Alcool,Ambiance sèche,R05X,0,0,1,0,,,0,0,2026-05-15,actif,1,,
,,,Clamoxyl 500mg,Amoxicilline,Clamoxyl,كلاموكسيل,500,mg,gélule,Antibiotique,Boîte de 16,9.000,7.500,6.500,6.800,4.500,6.800,4,10,60,1,0,55,16 gélules,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule,100%,GlaxoSmithKline,Tunisie,20,2025-10-01,Infections bactériennes,orale,Allergie aux pénicillines,Diarrhée,Méthotrexate,A temp ambiante,J01CA04,0,0,1,0,,,0,0,2026-02-28,actif,1,,
,,,Clamoxyl 1g,Amoxicilline,Clamoxyl 1g,كلاموكسيل 1غ,1000,mg,comprimé,Antibiotique,Boîte de 12,12.500,10.000,9.000,9.000,6.200,9.000,4,10,50,1,0,32,12 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,100%,GlaxoSmithKline,Tunisie,20,2025-10-01,Infections bactériennes,orale,Allergie aux pénicillines,Diarrhée,Méthotrexate,A temp ambiante,J01CA04,0,0,1,0,,,0,0,2026-03-15,actif,1,,
,,,Antafen,Acide méfénamique+Paracétamol,Antafen,أنتافين,250/300,mg,gélule,Antalgique,Boîte de 20,8.500,7.000,6.000,6.000,4.200,6.000,5,10,50,0,0,27,20 gélules,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule,70%,Laborex,Tunisie,25,2025-09-15,Dysménorrhée,orale,Ulcère gastrique,Nausées,AINS,A l'abri de la lumière,M01AE,0,0,1,0,,,0,0,2026-04-20,actif,1,,
,,,Augmentin 500mg,Amoxicilline+Acide clavulanique,Augmentin,أوغمينتين,500,mg,comprimé,Antibiotique,Boîte de 16,15.000,12.000,10.500,11.000,7.500,11.000,5,10,45,1,0,41,16 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,100%,GlaxoSmithKline,France,20,2025-09-01,Infections bactériennes,orale,Allergie aux pénicillines,Diarrhée,Méthotrexate,Réfrigérateur,J01CR02,0,0,1,0,,,0,0,2026-01-10,actif,1,,
,,,Augmentin 1g,Amoxicilline+Acide clavulanique,Augmentin 1g,أوغمينتين 1غ,1000,mg,comprimé,Antibiotique,Boîte de 14,20.000,16.000,14.000,14.500,9.800,14.500,5,10,35,1,0,23,14 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé pelliculé,100%,GlaxoSmithKline,France,20,2025-09-01,Infections bactériennes,orale,Allergie aux pénicillines,Diarrhée,Méthotrexate,Réfrigérateur,J01CR02,0,0,1,0,,,0,0,2026-02-28,actif,1,,
,,,Doliprane 500mg,Paracétamol,Doliprane,دولبران,500,mg,comprimé,Antalgique,Boîte de 20,4.500,3.500,3.000,2.800,1.800,2.800,4,20,120,1,0,95,20 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,70%,Sanofi,France,30,2025-12-31,Février Douleur,orale,Insuffisance hépatique,Rare hépatotoxicité,Alcool,A temp ambiante,N02BE01,0,0,1,0,,,1,0,2026-08-01,actif,1,,
,,,Doliprane 1000mg,Paracétamol,Doliprane 1000mg,دولبران 1000مغ,1000,mg,comprimé,Antalgique,Boîte de 12,6.500,5.000,4.200,3.800,2.500,3.800,4,15,100,1,0,78,12 comprimés,,2025-01-01 00:00:00,2025-01-01 00:00:00,comprimé sécable,70%,Sanofi,France,30,2025-12-31,Douleur intense,orale,Insuffisance hépatique,Rare hépatotoxicité,Alcool,A temp ambiante,N02BE01,0,0,1,0,,,1,0,2026-09-15,actif,1,,
,,,Advil 400mg,Ibuprofène,Advil,أدفيل,400,mg,gélule,Anti-inflammatoire,Boîte de 20,7.500,6.000,5.000,5.000,3.500,5.000,4,10,70,0,0,55,20 gélules,,2025-01-01 00:00:00,2025-01-01 00:00:00,gélule,70%,Reckitt Benckiser,France,25,2025-08-15,Douleur inflammatoire,orale,Ulcère gastrique,Dyspepsie,AINS,A temp ambiante,M01AE01,0,0,1,0,,,1,0,2026-07-01,actif,1,,
